Subscriber_ID,Channel,Category,Days_Watched,ZIP_Code,Verizon_Service,Highlighted,Customer_Type,Perks
bb30d9f7-d90a-464e-a94a-cfebc7e94c5c,BET+,Music & Audio,11,75220,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
40902930-2367-4b37-a9be-6c119a14ac52,Netflix,TV & Movies,19,75204,Verizon Plus Play,,Good,15% off on Netflix next month
c502b9b9-10c7-437a-8686-9d47219742b9,ViX Premium,Lifestyle,25,75234,Verizon MyPlan,,Good,Standard Perks
a77ece0a-df26-421e-b937-4a1bff3a4380,AMC+,TV & Movies,15,75240,Verizon Plus Play,,Good,Standard Perks
a5245204-6730-4bf4-ab38-5054bf45e1b9,BET+,Music & Audio,18,75252,Verizon Plus Play,,Good,Standard Perks
e78cd96d-b082-443e-88ff-ff23452cacf3,AMC+,TV & Movies,28,75235,Verizon MyPlan,,Good,Standard Perks
096c243b-c2eb-4aa8-bc50-00d633385996,HISTORY Vault,TV & Movies,11,75224,Verizon MyPlan,,Good,Standard Perks
5f46fb6f-e4cd-4937-85d9-67f6c793c951,Peacock,TV & Movies,5,75230,Verizon MyPlan,,Bad,No Perks
870b7021-d769-4726-9d8b-9caa2a54a440,Paramount+,TV & Movies,16,75211,Verizon Plus Play,,Good,Standard Perks
2bc16539-e8f0-47ad-9533-d8c98007765d,Paramount+,TV & Movies,18,75205,Verizon MyPlan,,Good,Standard Perks
613a124f-8a68-475f-8205-3e4234d3f747,Peacock,TV & Movies,23,75236,Verizon Plus Play,,Good,Standard Perks
1c2132b5-75ff-4e9c-96c3-2eaa4174c893,NFL Sunday Ticket,Sports,20,75237,Verizon Plus Play,,Good,Free month of STARZ
ef890bde-636e-4ef3-b684-42b14050c428,STARZ,TV & Movies,9,75254,Verizon Plus Play,Increased Days & Updated Perks,Bad,Bonus content for the next month
2187d3dd-3a93-4a73-a33a-63529a4ec857,AMC+,TV & Movies,22,75219,Verizon Plus Play,,Good,Standard Perks
bf230f28-d994-4d1f-9209-b5719273aba8,Netflix,TV & Movies,22,75246,Verizon MyPlan,,Good,15% off on Netflix next month
512c1319-0ccc-43ed-a530-a73a3fefd7f0,BET+,Music & Audio,26,75235,Verizon Plus Play,,Good,Standard Perks
1d901e0c-6b67-4300-b94c-285a4f5562f3,HISTORY Vault,TV & Movies,11,75218,Verizon Plus Play,,Good,Standard Perks
b91a6ad1-fcd1-44ad-85d3-af3f98db00aa,Paramount+,TV & Movies,14,75210,Verizon Plus Play,,Good,Standard Perks
965da13b-db22-4369-9b13-9142c8f27907,ViX Premium,Lifestyle,27,75254,Verizon MyPlan,,Good,Standard Perks
8b7215ad-110a-40a8-ba24-b8ff7caf12fc,BET+,Music & Audio,25,75249,Verizon MyPlan,,Good,Standard Perks
c5d3595b-ff1c-47fc-888b-595e327bcf39,Peacock,TV & Movies,27,75234,Verizon Plus Play,,Good,Standard Perks
a600dacb-e730-40a5-a313-5739ca98131d,STARZ,TV & Movies,18,75236,Verizon Plus Play,,Good,Standard Perks
2b68e37a-a761-423b-bd07-0d0adb8fc10a,STARZ,TV & Movies,17,75201,Verizon MyPlan,,Good,Standard Perks
1645d4ab-2eee-4039-ad49-1a9536f83623,ViX Premium,Lifestyle,12,75216,Verizon MyPlan,,Good,Standard Perks
2786f934-2cea-4400-b00c-606866724537,ViX Premium,Lifestyle,6,75231,Verizon Plus Play,Increased Days & Updated Perks,Bad,Bonus content for the next month
2357c779-7df2-4e99-a1b8-af82e63199ad,AMC+,TV & Movies,5,75212,Verizon MyPlan,,Bad,No Perks
657449ac-3c9f-4eec-b516-52c2f20a17f8,AMC+,TV & Movies,13,75236,Verizon Plus Play,,Good,Standard Perks
47874506-0bd3-48ef-8fd4-0571fe955b32,BET+,Music & Audio,25,75229,Verizon Plus Play,,Good,Standard Perks
3a3bfdcb-ed12-46a7-ae70-29cc1bb25097,ViX Premium,Lifestyle,18,75233,Verizon Plus Play,,Good,Standard Perks
40d71c12-21d9-409a-9947-20d8e9e45734,STARZ,TV & Movies,13,75219,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
3f65c102-0990-4991-94a9-078345b2c504,AMC+,TV & Movies,22,75252,Verizon MyPlan,,Good,Standard Perks
cd8c0b8d-a9a5-4f8e-bdfe-71bd59725cbb,Paramount+,TV & Movies,9,75254,Verizon Plus Play,Increased Days & Updated Perks,Bad,Bonus content for the next month
231e1b84-026b-4627-ac8f-377d3fa30f32,BET+,Music & Audio,5,75244,Verizon MyPlan,,Bad,No Perks
dc108b1c-ac5d-4edd-8443-bc6a5513bbc0,Paramount+,TV & Movies,7,75254,Verizon MyPlan,,Bad,No Perks
f31d3f4a-9f03-4ef6-af53-792838b62144,HISTORY Vault,TV & Movies,29,75243,Verizon Plus Play,,Good,Standard Perks
aa08c5c5-6d13-45a0-95d5-293daab564c3,Peacock,TV & Movies,23,75214,Verizon Plus Play,,Good,Standard Perks
bd856712-f1f0-49c9-ac8e-377336efcf68,Paramount+,TV & Movies,19,75226,Verizon Plus Play,,Good,Standard Perks
8e6e46f6-1333-4449-a0ab-e9c180577ae9,Peacock,TV & Movies,11,75216,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
310a6b99-6ba2-4c33-abaa-294642a65dab,FlixLatino,TV & Movies,7,75232,Verizon MyPlan,,Bad,No Perks
e3f1b1ec-333e-46fd-950c-17cc473e4b35,Paramount+,TV & Movies,15,75001,Verizon MyPlan,,Good,Standard Perks
8644ff0a-f26c-42f0-99b1-a1992f6bb212,ViX Premium,Lifestyle,20,75215,Verizon Plus Play,,Good,Standard Perks
8031d93f-9984-4b29-bfe9-f691ce9e940e,NFL Sunday Ticket,Sports,8,75234,Verizon MyPlan,,Bad,No Perks
59fc0f73-a2c6-4638-912c-0f96b85ceae6,FlixLatino,TV & Movies,29,75210,Verizon MyPlan,,Good,Standard Perks
4d50ad15-97d0-4f84-a8af-cddfa10621c6,Netflix,TV & Movies,24,75224,Verizon Plus Play,,Good,15% off on Netflix next month
3315b853-4e09-42cb-a254-0a004bcd0008,NFL Sunday Ticket,Sports,11,75214,Verizon Plus Play,,Good,Free month of STARZ
5ef18668-bb98-4cca-8511-b996f0a475b2,Peacock,TV & Movies,24,75001,Verizon Plus Play,,Good,Standard Perks
95240b6c-cdba-44c8-b9de-1ce83573de6b,Netflix,TV & Movies,4,75246,Verizon MyPlan,,Bad,No Perks
e90598c5-4b43-4e84-a5c8-b28297588d79,HISTORY Vault,TV & Movies,14,75219,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
7c4f1e4a-dd3a-4b2e-8ef9-8ea759fc43f7,HISTORY Vault,TV & Movies,9,75228,Verizon MyPlan,,Bad,No Perks
de08d350-20d0-438a-97f5-c8fa9ca71eb0,Netflix,TV & Movies,30,75206,Verizon MyPlan,,Good,15% off on Netflix next month
82bc7173-98d8-4c16-ae29-bb7451ca7185,AMC+,TV & Movies,9,75223,Verizon Plus Play,Increased Days & Updated Perks,Bad,Bonus content for the next month
da07ebda-5d7e-4c68-93fb-e17696eab9ef,Netflix,TV & Movies,0,75211,Verizon MyPlan,,Bad,No Perks
3d42c986-61b4-4191-9b63-2e9ed8e5e700,Peacock,TV & Movies,11,75227,Verizon Plus Play,,Good,Standard Perks
d8c96106-4d54-4ef5-83b5-905018f76509,NFL Sunday Ticket,Sports,11,75219,Verizon Plus Play,,Good,Free month of STARZ
60ef1cec-ad82-4a90-841b-0ef2260331ae,HISTORY Vault,TV & Movies,26,75224,Verizon MyPlan,,Good,Standard Perks
14d51a8a-f7e3-4347-ab79-242e665c8263,ViX Premium,Lifestyle,21,75234,Verizon Plus Play,,Good,Standard Perks
e372caeb-c141-4371-90b4-6eea0655ae90,ViX Premium,Lifestyle,9,75230,Verizon MyPlan,,Bad,No Perks
dd822872-985b-4444-bf78-113496543d49,Netflix,TV & Movies,19,75248,Verizon MyPlan,,Good,15% off on Netflix next month
840c9014-2d73-4219-ba82-bab76664c51d,STARZ,TV & Movies,21,75223,Verizon Plus Play,,Good,Standard Perks
7b9aceed-cffc-462a-af85-a02e3a379e71,Peacock,TV & Movies,25,75249,Verizon MyPlan,,Good,Standard Perks
9b0bbb3b-6f1c-4e5e-881b-3b463732afb7,NFL Sunday Ticket,Sports,3,75218,Verizon MyPlan,,Bad,No Perks
d9919ace-4494-493a-a593-ae5bad2c16bd,FlixLatino,TV & Movies,11,75210,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
215799d8-9e03-48d6-b96e-8db1b903e501,HISTORY Vault,TV & Movies,13,75229,Verizon Plus Play,,Good,Standard Perks
9cb50a68-9fa2-431f-88df-1c7aa6dcd961,Netflix,TV & Movies,29,75252,Verizon MyPlan,,Good,15% off on Netflix next month
ddfec83e-cdd1-47da-86ae-9bbfdfa9a87a,Peacock,TV & Movies,13,75233,Verizon MyPlan,,Good,Standard Perks
28e5f5f2-ed8c-4e79-ba4b-03c3682dc387,STARZ,TV & Movies,16,75224,Verizon MyPlan,,Good,Standard Perks
a07b69c1-c632-436c-8ad6-114a2383f03a,STARZ,TV & Movies,11,75231,Verizon MyPlan,,Good,Standard Perks
46f1f82e-531b-4e82-a2d7-27751cf4ce7b,Peacock,TV & Movies,12,75251,Verizon Plus Play,,Good,Standard Perks
9f7d19de-74db-4564-83b6-e596c2780ee9,FlixLatino,TV & Movies,21,75209,Verizon MyPlan,,Good,Standard Perks
df203c59-fd0d-417b-aae3-862d86dd1216,Paramount+,TV & Movies,18,75287,Verizon MyPlan,,Good,Standard Perks
8cb665c6-7ee9-4282-a041-eea0fa0a1a50,FlixLatino,TV & Movies,26,75231,Verizon Plus Play,,Good,Standard Perks
f153c7b7-f0d7-401e-a56e-afdadcf4dcb8,Paramount+,TV & Movies,26,75201,Verizon Plus Play,,Good,Standard Perks
2daa4a92-2e3f-4d6c-93aa-c839827cf8dc,ViX Premium,Lifestyle,27,75252,Verizon MyPlan,,Good,Standard Perks
cca6b565-530d-4cbd-97be-a71b1ac0895f,NFL Sunday Ticket,Sports,20,75233,Verizon MyPlan,,Good,Free month of STARZ
dbb467e7-6e17-4f19-a4ac-1e42b18351f7,HISTORY Vault,TV & Movies,10,75203,Verizon MyPlan,,Bad,No Perks
8f4a35ea-1925-4969-8aa4-b742bfdfabc7,HISTORY Vault,TV & Movies,24,75224,Verizon Plus Play,,Good,Standard Perks
5af5fa63-b6cb-4124-b832-4abeeccb4e98,FlixLatino,TV & Movies,5,75209,Verizon MyPlan,,Bad,No Perks
3409242b-e50c-4fdd-994c-0a8a9bde3a85,Paramount+,TV & Movies,29,75208,Verizon Plus Play,,Good,Standard Perks
b06692b1-74e2-4b02-ade4-ee78c55d1ce8,STARZ,TV & Movies,15,75212,Verizon Plus Play,,Good,Standard Perks
359bd0ba-86c3-498a-adbe-5e5cb2c5b2da,STARZ,TV & Movies,13,75231,Verizon Plus Play,,Good,Standard Perks
6f18a15e-2ef1-45cb-b1d0-09055481432f,HISTORY Vault,TV & Movies,4,75231,Verizon MyPlan,,Bad,No Perks
942b443b-e5ee-43f4-a167-a9026bd72da6,Paramount+,TV & Movies,7,75254,Verizon Plus Play,Increased Days & Updated Perks,Bad,Bonus content for the next month
633dc011-98bf-4cad-9926-635bd2dd6762,STARZ,TV & Movies,20,75248,Verizon MyPlan,,Good,Standard Perks
e89b56ed-78d5-4d3d-b560-9e2e3b3d0546,Peacock,TV & Movies,5,75229,Verizon Plus Play,Increased Days & Updated Perks,Bad,Bonus content for the next month
a9c4c354-c7f5-48c9-ad58-864e22e85521,Netflix,TV & Movies,15,75287,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
12d26dae-34c5-41b8-bfeb-d1ae95da9b07,ViX Premium,Lifestyle,8,75248,Verizon MyPlan,,Bad,No Perks
34077156-cfe9-44dd-9b63-9d77db134e8c,FlixLatino,TV & Movies,18,75230,Verizon MyPlan,,Good,Standard Perks
2b736efb-c958-46d2-b01c-a6da79e440f0,AMC+,TV & Movies,18,75236,Verizon Plus Play,,Good,Standard Perks
4d7de65a-4ffc-4c40-9751-a4f58137a61e,AMC+,TV & Movies,22,75248,Verizon Plus Play,,Good,Standard Perks
4529be6f-6d21-493a-ac22-4a0397b9112b,STARZ,TV & Movies,12,75218,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
6c735853-ab3e-4f4e-ac0e-794b15fa2681,Netflix,TV & Movies,6,75235,Verizon MyPlan,,Bad,No Perks
8cd1b5ec-1299-4c7a-9941-0b806799c0c6,ViX Premium,Lifestyle,18,75254,Verizon MyPlan,,Good,Standard Perks
e754ee38-c3b5-4f90-802c-d30f34bc8739,HISTORY Vault,TV & Movies,10,75001,Verizon Plus Play,Increased Days & Updated Perks,Bad,Bonus content for the next month
cbd5c330-75a4-4bd1-91cb-4b9eea2ebd10,HISTORY Vault,TV & Movies,22,75214,Verizon Plus Play,,Good,Standard Perks
e3bbf445-583f-41c2-81e8-8333fd46d9ba,NFL Sunday Ticket,Sports,26,75211,Verizon Plus Play,,Good,Free month of STARZ
30094c4c-d5ba-46c8-b254-e8699b22afde,Netflix,TV & Movies,16,75204,Verizon MyPlan,,Good,15% off on Netflix next month
a351b058-85db-471e-a68d-d000d2315e89,NFL Sunday Ticket,Sports,6,75208,Verizon MyPlan,,Bad,No Perks
f69ef8ce-7d6f-4276-a7b3-afa1bdb71a04,BET+,Music & Audio,12,75234,Verizon Plus Play,,Good,Standard Perks
bc9c91a9-c18e-4b23-bfbe-4ac77e05f1f1,BET+,Music & Audio,5,75248,Verizon MyPlan,,Bad,No Perks
b4633619-8cd3-4c08-8e88-2529b4957dc2,NFL Sunday Ticket,Sports,22,75210,Verizon Plus Play,,Good,Free month of STARZ
a728680d-b392-4e84-af28-dacf686790d4,Paramount+,TV & Movies,13,75287,Verizon Plus Play,,Good,Standard Perks
bd1b78ec-34cc-4990-936a-1053e0df1669,HISTORY Vault,TV & Movies,3,75228,Verizon MyPlan,,Bad,No Perks
eb1dcab3-fc22-45f4-a902-3cb167b7e35e,AMC+,TV & Movies,10,75232,Verizon MyPlan,,Bad,No Perks
974035ec-b57b-4125-b396-8da05e91db36,BET+,Music & Audio,13,75243,Verizon Plus Play,,Good,Standard Perks
8359cef3-2e05-4b3e-9a44-b6471de362fe,STARZ,TV & Movies,3,75215,Verizon MyPlan,,Bad,No Perks
11144b28-b2e1-4a62-a554-22c13aa39470,ViX Premium,Lifestyle,12,75201,Verizon MyPlan,,Good,Standard Perks
7a03578b-e2a2-400d-90ff-e8486990f59b,HISTORY Vault,TV & Movies,22,75287,Verizon Plus Play,,Good,Standard Perks
a8172302-111f-4ad7-ac10-c81fbe139a50,AMC+,TV & Movies,26,75208,Verizon MyPlan,,Good,Standard Perks
435c3700-4b17-4b87-9534-a181ebf7d304,FlixLatino,TV & Movies,7,75225,Verizon Plus Play,Increased Days & Updated Perks,Bad,Bonus content for the next month
0f83a66c-0e7c-4364-924b-6f6f4aa108f0,Paramount+,TV & Movies,13,75203,Verizon Plus Play,,Good,Standard Perks
35bdcedf-86ca-4595-8a70-cf0f4fb384cf,STARZ,TV & Movies,30,75252,Verizon MyPlan,,Good,Standard Perks
7dbba858-dfce-4ef5-8e32-864fa297ac22,BET+,Music & Audio,3,75204,Verizon MyPlan,,Bad,No Perks
67e9c3a7-ee49-49fc-b43c-c6005fe3fb94,Paramount+,TV & Movies,30,75226,Verizon Plus Play,,Good,Standard Perks
3f6aa13e-bbf2-46cb-8859-4cb533d409db,Peacock,TV & Movies,28,75209,Verizon Plus Play,,Good,Standard Perks
dcf8f783-791e-49da-96f6-0cfde57bdd24,NFL Sunday Ticket,Sports,16,75203,Verizon MyPlan,,Good,Free month of STARZ
ab609fea-3345-4cdd-9ac5-749724b32411,Netflix,TV & Movies,15,75230,Verizon Plus Play,,Good,15% off on Netflix next month
61aeab2f-111f-41ca-94c1-efe8036a1c4b,HISTORY Vault,TV & Movies,29,75204,Verizon Plus Play,,Good,Standard Perks
a4b1ca92-e459-4b1e-81cb-220b562a3a63,AMC+,TV & Movies,18,75208,Verizon Plus Play,,Good,Standard Perks
1d7c1cf8-3bb6-43a5-afbb-e57091bda97e,STARZ,TV & Movies,30,75230,Verizon MyPlan,,Good,Standard Perks
888916b2-5329-4bc6-84cc-6d2886dc2ed1,STARZ,TV & Movies,26,75235,Verizon Plus Play,,Good,Standard Perks
f8fb724f-48d9-4813-9813-99a05e345d41,ViX Premium,Lifestyle,24,75216,Verizon Plus Play,,Good,Standard Perks
a032f66c-f81b-43b8-922c-3407a4175d2c,Netflix,TV & Movies,26,75210,Verizon Plus Play,,Good,15% off on Netflix next month
c26650c1-c261-4ba9-99ea-28f41a3f959b,HISTORY Vault,TV & Movies,16,75244,Verizon Plus Play,,Good,Standard Perks
56bbbdf4-7db2-4407-9ab1-7d841f002bb3,FlixLatino,TV & Movies,14,75248,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
0e14e124-45f7-47bc-bdcc-2194f75655a2,ViX Premium,Lifestyle,21,75223,Verizon Plus Play,,Good,Standard Perks
f7d147a1-34c1-4c6e-acd1-d82bc9e972b2,AMC+,TV & Movies,17,75214,Verizon Plus Play,,Good,Standard Perks
af3a04c1-6e36-4fcc-b30c-b8a12830f8d3,Peacock,TV & Movies,30,75243,Verizon Plus Play,,Good,Standard Perks
e72a7d63-2c7f-475f-9be3-dc9ca1164015,Peacock,TV & Movies,22,75217,Verizon MyPlan,,Good,Standard Perks
4a44fbf3-bfd9-4615-8b1e-3dc7120606cf,BET+,Music & Audio,5,75243,Verizon MyPlan,,Bad,No Perks
3c41b701-2644-4dfd-ae5d-7887b2da7a3f,ViX Premium,Lifestyle,27,75202,Verizon Plus Play,,Good,Standard Perks
