Subscriber_ID,App Name,Category_x,Days_Watched,ZIP_Code,Verizon_Service,Customer_Type,Perks,URL
1a926f0b-f547-4930-814f-48b76773f629,Food Network,TV & Movies,3,75206,Verizon MyPlan,Bad,No Perks,https://www.foodnetwork.com/pricing/standard
2537f88a-055e-4a14-a5f3-11fbc29d5b10,NBC Sports,Music & Audio,29,75217,Verizon MyPlan,Good,Standard Perks,https://www.nbcsports.com/atandt
96081030-d791-417c-b6a0-ae8b0b8bfe99,Hulu,TV & Movies,4,75246,Verizon MyPlan,Bad,No Perks,https://www.hulu.com/tmobile
0fd62bf3-48ad-4a5f-a18c-698fe6990606,NBC Sports,TV & Movies,23,75252,Verizon MyPlan,Good,Standard Perks,https://www.nbcsports.com/free-trial
2f3c2909-07d3-47c5-8557-a533bdecd44c,Netflix,TV & Movies,0,75223,Verizon MyPlan,Bad,No Perks,https://www.netflix.com/pricing/standard
9be90440-255e-476b-aae5-516a6b9c4800,FX,Lifestyle,25,75237,Verizon MyPlan,Good,Standard Perks,https://www.fxnetworks.com/signup/premium
74222dd9-2378-458e-a5f5-d4788d7eed2b,MTV,TV & Movies,0,75287,Verizon MyPlan,Bad,No Perks,https://www.mtv.com/signup/standard
2ed7231e-a4fe-43d0-9d53-4e6192bb4b56,Comedy Central,Lifestyle,16,75248,Verizon MyPlan,Good,"Bundle 7: Comedy Central\nComedy Central: Premium Plan\nNetflix: Standard Plan\nHBO Max: Standard Plan\nPrice: $29.99/month\nFeatures:\nBest of stand-up, sitcoms, and comedy movies.\nAd-free streaming on premium content.",https://www.comedycentral.com/us/plans
8ce8cd14-44e8-46ed-b68a-e2d099ac0fba,AMC,Sports,7,75234,Verizon MyPlan,Bad,No Perks,https://www.amc.com/us
e47b5255-c289-47b1-9f1f-a2d7ed1a2680,TNT,TV & Movies,28,75230,Verizon MyPlan,Good,Bundle 6: Action & Drama\nHBO Max: Premium Plan\nAMC: Premium Plan\nTNT: Standard Plan\nPrice: $30.99/month\nFeatures:\nHigh-octane action movies and dramatic series.\nSimultaneous streaming on multiple devices.,https://www.tntdrama.com/redeem
f4c1e229-a559-4043-93d0-f77b1c696192,AMC,Sports,17,75231,Verizon MyPlan,Good,Free month of STARZ,https://www.amc.com/signup/premium
dd932258-1dac-41d1-bdb1-e2b591e7c5a9,Netflix,TV & Movies,30,75229,Verizon MyPlan,Good,"Bundle 1: All-in-One Entertainment\nNetflix: Premium Plan\nHBO Max: Standard Plan\nDisney+: Standard Plan\nPrice: $34.99/month\nFeatures:\nAccess to new releases, exclusive shows, and classic content.\nSimultaneous streaming on multiple devices.",https://www.netflix.com/pricing
0752579a-9fc0-4812-b8e0-c13fa760f302,FX,TV & Movies,5,75212,Verizon MyPlan,Bad,No Perks,https://www.fxnetworks.com/redeem
58709734-4347-4be9-accf-2339285da227,TNT,TV & Movies,7,75233,Verizon MyPlan,Bad,No Perks,https://www.tntdrama.com/atandt
6d9efddb-ada6-4b94-b708-7a5d78d5478a,HBO,Music & Audio,2,75203,Verizon MyPlan,Bad,No Perks,https://www.hbo.com/signup/planform
76d85d4d-d73e-4025-a92c-48731e158c94,ESPN,TV & Movies,8,75231,Verizon MyPlan,Bad,No Perks,https://www.espnplus.com/ca
419b4982-45f6-4a55-bac8-563ce06b64e9,Food Network,TV & Movies,26,75235,Verizon MyPlan,Good,Standard Perks,https://www.foodnetwork.com/promotions
31e02aa7-4d19-43ad-92dc-77ea346a4372,Hulu,TV & Movies,15,75244,Verizon MyPlan,Good,Standard Perks,https://www.hulu.com/us
f6d6b4a6-3048-4025-9969-f748674eb5ba,CNN,Sports,11,75247,Verizon MyPlan,Good,Free month of STARZ,https://www.cnn.com/signup/trial
dd06caf1-a3b4-4b1f-8c0f-2d63c7797481,ESPN,TV & Movies,3,75203,Verizon MyPlan,Bad,No Perks,https://www.espn.com/pricing
a7a2057f-f130-44e3-a172-fb3fcd4763b2,Netflix,TV & Movies,0,75204,Verizon MyPlan,Bad,No Perks,https://www.netflix.com/ca
f4d82c95-06bd-4476-b1b3-725c817618ac,Netflix,TV & Movies,20,75234,Verizon MyPlan,Good,"Bundle 1: All-in-One Entertainment\nNetflix: Premium Plan\nHBO Max: Standard Plan\nDisney+: Standard Plan\nPrice: $34.99/month\nFeatures:\nAccess to new releases, exclusive shows, and classic content.\nSimultaneous streaming on multiple devices.",https://www.netflix.com/au
1b63d600-7d5b-4a1f-9d96-17cc27b119f1,Showtime,Lifestyle,15,75207,Verizon MyPlan,Good,Bundle 4: Ultimate Movie Buff\nHBO Max: Premium Plan\nShowtime: Standard Plan\nStarz: Premium Plan\nPrice: $32.99/month\nFeatures:\nAccess to a vast library of movies.\nExclusive film premieres.,https://www.showtime.com/signup/trial
