Subscriber_ID,Channel,Category,Days_Watched,ZIP_Code,Verizon_Service,Highlighted,Customer_Type,Perks
9f5f6239-3ce5-4a53-ac73-584b9dcb165d,FlixLatino,TV & Movies,25,75248,Verizon MyPlan,,Good,Standard Perks
ce01220f-371e-48e9-8a72-83e2f26bf2f4,NFL Sunday Ticket,Sports,30,75287,Verizon MyPlan,,Good,Free month of STARZ
a995c809-ce65-4c76-a4c9-8a74e4842e10,FlixLatino,TV & Movies,20,75226,Verizon MyPlan,,Good,Standard Perks
2b4ca953-3de4-4885-92a2-fff092ec94f4,FlixLatino,TV & Movies,22,75214,Verizon MyPlan,,Good,Standard Perks
addf14b6-2604-4340-b2a6-d3b042fea18c,ViX Premium,Lifestyle,26,75219,Verizon MyPlan,,Good,Standard Perks
e09972ae-38f0-4716-907f-467de2ea4c65,ViX Premium,Lifestyle,11,75231,Verizon MyPlan,Increased Days & Updated Perks,Good,Discount on next month's subscription
948740de-24bb-440e-b877-23aa80df8dbf,AMC+,TV & Movies,15,75249,Verizon MyPlan,,Good,Standard Perks
296d179a-8da2-43c7-a659-e047e46be46f,NFL Sunday Ticket,Sports,11,75220,Verizon MyPlan,,Good,Free month of STARZ
b2c9df9f-a26c-4f38-86ae-c189aecb1f84,Paramount+,TV & Movies,12,75241,Verizon MyPlan,,Good,Standard Perks
315b3922-48df-44aa-9f4f-0521a1418cd1,FlixLatino,TV & Movies,12,75231,Verizon MyPlan,,Good,Standard Perks
fd9fa52f-2075-429d-aa25-cca6c5ab6980,ViX Premium,Lifestyle,16,75216,Verizon MyPlan,,Good,Standard Perks
3de71eeb-afae-4335-8a1f-d80c17a5de0a,Netflix,TV & Movies,30,75249,Verizon MyPlan,,Good,15% off on Netflix next month
20ca1607-402d-496d-b103-ec52c7bcb70c,BET+,Music & Audio,16,75236,Verizon MyPlan,,Good,Standard Perks
98cf8896-62c8-4929-a67e-4c4f3e8120cc,Peacock,TV & Movies,30,75240,Verizon MyPlan,,Good,Standard Perks
ffdc0644-c47b-4d64-8965-be2c821403a6,Paramount+,TV & Movies,27,75249,Verizon MyPlan,,Good,Standard Perks
ebd0d5e5-9dd1-47b1-89c1-eebe285569bc,AMC+,TV & Movies,23,75214,Verizon MyPlan,,Good,Standard Perks
f9fd06ca-c06f-4a4f-be83-ec0d5ecd2131,ViX Premium,Lifestyle,23,75202,Verizon MyPlan,,Good,Standard Perks
a89eed19-e40e-410b-a500-35f62cb86697,HISTORY Vault,TV & Movies,30,75231,Verizon MyPlan,,Good,Standard Perks
50598620-c254-4671-b7d0-7885895ab512,AMC+,TV & Movies,22,75228,Verizon MyPlan,,Good,Standard Perks
c11b90c5-f2d5-41f5-895f-17800161c555,AMC+,TV & Movies,28,75210,Verizon MyPlan,,Good,Standard Perks
1c137099-a902-4675-9391-9f84f51c4766,Peacock,TV & Movies,25,75236,Verizon MyPlan,,Good,Standard Perks
1a72e370-357f-44d1-8e2e-836e73c24c9f,ViX Premium,Lifestyle,20,75225,Verizon MyPlan,,Good,Standard Perks
b81de094-a106-4ae4-8713-b2acd0014931,HISTORY Vault,TV & Movies,12,75252,Verizon MyPlan,,Good,Standard Perks
af3fc661-6c5b-4c0e-878b-8f41b933642d,NFL Sunday Ticket,Sports,26,75219,Verizon MyPlan,,Good,Free month of STARZ
a8f3db96-4afc-4987-963e-a6d4bb89e7cb,NFL Sunday Ticket,Sports,11,75202,Verizon MyPlan,,Good,Free month of STARZ
d4fe08c3-3be1-4a9f-beab-2dac6f69b82f,Netflix,TV & Movies,15,75226,Verizon MyPlan,,Good,15% off on Netflix next month
e143eb8c-d761-4ef8-ac51-953bc827d0c1,AMC+,TV & Movies,26,75204,Verizon MyPlan,,Good,Standard Perks
803978f5-bf72-43d9-a96b-5d167f5951bf,HISTORY Vault,TV & Movies,14,75217,Verizon MyPlan,Increased Days & Updated Perks,Good,Discount on next month's subscription
b31b03ba-0353-43bd-98aa-ae3932d56f1e,AMC+,TV & Movies,16,75228,Verizon MyPlan,,Good,Standard Perks
12ba80bc-fbd1-4fd6-8116-32fac1dbd9cf,NFL Sunday Ticket,Sports,24,75207,Verizon MyPlan,,Good,Free month of STARZ
ff0c574d-3926-4fc7-baad-7b061f02c884,HISTORY Vault,TV & Movies,13,75205,Verizon MyPlan,,Good,Standard Perks
f0d7af1c-186d-4cc7-ae44-b9aa59bc97e6,NFL Sunday Ticket,Sports,11,75235,Verizon MyPlan,,Good,Free month of STARZ
fcd45b47-93a0-4a4b-94f3-43f279214331,BET+,Music & Audio,13,75230,Verizon MyPlan,,Good,Standard Perks
f761bbd7-5357-497f-ad82-180b779c8095,NFL Sunday Ticket,Sports,14,75205,Verizon MyPlan,,Good,Free month of STARZ
95f078d6-62eb-4172-be9b-9d6021e8563b,Paramount+,TV & Movies,11,75249,Verizon MyPlan,,Good,Standard Perks
3e42b409-ec53-400a-af61-f726a6d1bd00,FlixLatino,TV & Movies,28,75225,Verizon MyPlan,,Good,Standard Perks
fcaf8b1b-66ae-4f86-bb20-d18eaca50e63,NFL Sunday Ticket,Sports,17,75210,Verizon MyPlan,,Good,Free month of STARZ
4436b91a-a352-46b9-8c03-f797d3bbc2c7,FlixLatino,TV & Movies,11,75249,Verizon MyPlan,,Good,Standard Perks
651e8c5d-a2c5-4530-8a40-466eb253d393,FlixLatino,TV & Movies,16,75234,Verizon MyPlan,,Good,Standard Perks
97a41d22-061e-4a4d-af7f-d52f9d2dd815,Peacock,TV & Movies,15,75219,Verizon MyPlan,Increased Days & Updated Perks,Good,Discount on next month's subscription
7972a009-699f-4701-8af2-5e74d76a802b,NFL Sunday Ticket,Sports,15,75223,Verizon MyPlan,Increased Days & Updated Perks,Good,Discount on next month's subscription
43ff27ec-e851-4524-9f67-97406cd2493b,BET+,Music & Audio,19,75228,Verizon MyPlan,,Good,Standard Perks
8515f113-cd57-4b5d-95dd-6188c9538d2d,ViX Premium,Lifestyle,26,75212,Verizon MyPlan,,Good,Standard Perks
524c9c38-9604-47c9-9ef0-ef73792b953a,HISTORY Vault,TV & Movies,23,75219,Verizon MyPlan,,Good,Standard Perks
1a24fb9d-8944-4934-8523-8e6c9ced572d,HISTORY Vault,TV & Movies,15,75210,Verizon MyPlan,Increased Days & Updated Perks,Good,Discount on next month's subscription
730e5f2c-0042-4b64-b67e-6713cb4557f6,AMC+,TV & Movies,11,75210,Verizon MyPlan,Increased Days & Updated Perks,Good,Discount on next month's subscription
