Subscriber_ID,Channel,Category,Days_Watched,ZIP_Code,Verizon_Service,Customer_Type,Perks
e6e89817-5c72-4a2d-9edb-5a8e2be9100b,ViX Premium,Lifestyle,29,75203,Verizon MyPlan,Good,Standard Perks
3ca792bf-d7e8-4dad-bdb7-eb34ea1d4b1e,Netflix,TV & Movies,19,75218,Verizon MyPlan,Good,15% off on Netflix next month
a3ebb0a4-5da6-4f3e-801a-9ab99a2761c9,STARZ,TV & Movies,13,75251,Verizon MyPlan,Good,Standard Perks
8297ed23-c225-458c-8104-bcc3f1b26cec,Paramount+,TV & Movies,19,75214,Verizon MyPlan,Good,Standard Perks
858f5232-af3f-4694-b571-7ea902cbe5c9,AMC+,TV & Movies,9,75236,Verizon MyPlan,Bad,No Perks
58095973-35b1-419c-8156-bbf279757a1b,HISTORY Vault,TV & Movies,8,75223,Verizon MyPlan,Bad,No Perks
ec6fc795-45a2-4cc5-bc5a-91e0a2db5d27,HISTORY Vault,TV & Movies,1,75253,Verizon MyPlan,Bad,No Perks
d08decb0-5d45-4f7d-9fdf-482cf55ab10f,Paramount+,TV & Movies,2,75228,Verizon MyPlan,Bad,No Perks
af3639b2-68ee-4115-9efb-90880560f08f,NFL Sunday Ticket,Sports,24,75234,Verizon MyPlan,Good,Free month of STARZ
90bfab43-3f3f-4a32-a75f-21b2f4d93165,STARZ,TV & Movies,13,75214,Verizon MyPlan,Good,Standard Perks
e68915e5-2602-4d41-aa8d-5cc8351dbe72,BET+,Music & Audio,18,75214,Verizon MyPlan,Good,Standard Perks
72e8be07-628a-4cb8-85ec-8ffa50deb341,FlixLatino,TV & Movies,27,75214,Verizon MyPlan,Good,Standard Perks
1b3d3cfa-e841-4a88-b632-60c51dddef08,Netflix,TV & Movies,30,75211,Verizon MyPlan,Good,15% off on Netflix next month
f7b39db1-0b8f-4b7d-9cbf-74a1e66778c4,HISTORY Vault,TV & Movies,13,75216,Verizon MyPlan,Good,Standard Perks
9e625d41-8d94-4686-a4e8-f807524061d4,NFL Sunday Ticket,Sports,3,75227,Verizon MyPlan,Bad,No Perks
49a2ed8c-ca0d-4c4d-a33c-75d18b90ad3a,BET+,Music & Audio,7,75249,Verizon MyPlan,Bad,No Perks
71b5627b-c861-4d17-b24b-98c72f9e8add,BET+,Music & Audio,25,75223,Verizon MyPlan,Good,Standard Perks
fe5e528f-f50c-4322-b282-01983d98f984,BET+,Music & Audio,17,75229,Verizon MyPlan,Good,Standard Perks
713e3e1f-735f-46d1-b207-069c6dc3bf30,BET+,Music & Audio,17,75223,Verizon MyPlan,Good,Standard Perks
9b11be3c-bd85-474e-b0d7-73740b49ad8e,Peacock,TV & Movies,2,75252,Verizon MyPlan,Bad,No Perks
c3939df4-19a7-4753-9d57-bf83e0cca59d,Peacock,TV & Movies,18,75229,Verizon MyPlan,Good,Standard Perks
b5fef200-3c8d-4238-88af-053935b819fb,Paramount+,TV & Movies,18,75232,Verizon MyPlan,Good,Standard Perks
739c2958-cedd-48ff-8c2c-f06a5c2f6d22,Netflix,TV & Movies,14,75217,Verizon MyPlan,Good,15% off on Netflix next month
0cf6b361-6303-4169-8460-06cd7667812d,HISTORY Vault,TV & Movies,22,75244,Verizon MyPlan,Good,Standard Perks
73e7d23c-0221-4f0e-902f-29b1fad8fedd,BET+,Music & Audio,4,75210,Verizon MyPlan,Bad,No Perks
456549fe-ef26-4cca-a6f2-483ec3433047,ViX Premium,Lifestyle,15,75252,Verizon MyPlan,Good,Standard Perks
587ac417-2eac-49da-be77-ae133b4e47b1,STARZ,TV & Movies,2,75202,Verizon MyPlan,Bad,No Perks
36bc4cdd-25b6-4b4c-83f0-c47d842ab508,ViX Premium,Lifestyle,19,75001,Verizon MyPlan,Good,Standard Perks
42966808-26f8-4316-8d27-bd0ddf30df45,BET+,Music & Audio,16,75001,Verizon MyPlan,Good,Standard Perks
1f278ffd-5156-4d22-8339-6a115dfc401e,STARZ,TV & Movies,5,75287,Verizon MyPlan,Bad,No Perks
76798fd6-8386-498c-9780-839738bb20f8,HISTORY Vault,TV & Movies,17,75217,Verizon MyPlan,Good,Standard Perks
567c9ad2-fd04-4829-bd70-e19baba7c436,NFL Sunday Ticket,Sports,29,75203,Verizon MyPlan,Good,Free month of STARZ
15c9b8f0-9733-49f3-a4f8-6fe1ba4999c0,HISTORY Vault,TV & Movies,18,75287,Verizon MyPlan,Good,Standard Perks
52c0abf6-80e5-49f9-b431-88bb28b5397c,Peacock,TV & Movies,14,75212,Verizon MyPlan,Good,Standard Perks
95fab4c8-99a0-45c8-8531-e30b87391b00,Paramount+,TV & Movies,7,75207,Verizon MyPlan,Bad,No Perks
a7093a0f-650f-466e-b2af-188c469a5685,STARZ,TV & Movies,3,75206,Verizon MyPlan,Bad,No Perks
3d69f1af-0f10-4712-aa73-6ffe6b38bc15,BET+,Music & Audio,20,75240,Verizon MyPlan,Good,Standard Perks
32e0c407-53b8-415f-afd5-285cb76c48c1,NFL Sunday Ticket,Sports,8,75249,Verizon MyPlan,Bad,No Perks
48e113a8-e336-4849-9d59-739cacde4ed4,Paramount+,TV & Movies,22,75215,Verizon MyPlan,Good,Standard Perks
5516f4d3-dc53-47e3-b060-f4abf84682c0,HISTORY Vault,TV & Movies,4,75233,Verizon MyPlan,Bad,No Perks
4a84d57a-f9c5-4796-bf1f-2e0df69a7b45,ViX Premium,Lifestyle,7,75232,Verizon MyPlan,Bad,No Perks
acdf49de-60f1-493e-954b-e85c9f22a982,Paramount+,TV & Movies,14,75237,Verizon MyPlan,Good,Standard Perks
4f390c7d-cbdf-47b5-b4ea-51fccec25b5a,ViX Premium,Lifestyle,18,75211,Verizon MyPlan,Good,Standard Perks
91529b0a-9f37-45f5-bc67-185f59be86e2,Paramount+,TV & Movies,29,75214,Verizon MyPlan,Good,Standard Perks
065f0d36-0d13-44dd-a81c-6c4707a5fdff,Peacock,TV & Movies,14,75202,Verizon MyPlan,Good,Standard Perks
4bf6dd8f-0a60-49ea-9ff0-9022dee07e13,HISTORY Vault,TV & Movies,23,75246,Verizon MyPlan,Good,Standard Perks
c66b63f2-36d3-4328-a92b-63e431b4b790,HISTORY Vault,TV & Movies,19,75210,Verizon MyPlan,Good,Standard Perks
29f1b422-d34e-4748-9582-cc5ff82a385f,STARZ,TV & Movies,4,75246,Verizon MyPlan,Bad,No Perks
4e855298-cc33-4b99-bd20-e8e584347f6b,Netflix,TV & Movies,20,75253,Verizon MyPlan,Good,15% off on Netflix next month
0ae778ff-c8c8-466b-a77c-416d87795325,Paramount+,TV & Movies,3,75214,Verizon MyPlan,Bad,No Perks
a17b78e1-f38b-4d14-972a-56b572f6c4aa,Netflix,TV & Movies,28,75231,Verizon MyPlan,Good,15% off on Netflix next month
a81e61de-20af-472f-8f84-553baaac440f,ViX Premium,Lifestyle,23,75204,Verizon MyPlan,Good,Standard Perks
052ee80b-1919-422f-80e2-922f0fa9274b,AMC+,TV & Movies,10,75243,Verizon MyPlan,Bad,No Perks
1a876bf0-749e-4422-ba1e-3086433eb59a,ViX Premium,Lifestyle,16,75251,Verizon MyPlan,Good,Standard Perks
1f885bab-7c61-429c-ab70-aafe1b1277c0,Paramount+,TV & Movies,10,75225,Verizon MyPlan,Bad,No Perks
ba7167a2-6e83-47a9-9293-63411efbcf08,BET+,Music & Audio,0,75236,Verizon MyPlan,Bad,No Perks
53cb8e80-9ab3-4875-971e-f1795ddf4c38,Paramount+,TV & Movies,4,75204,Verizon MyPlan,Bad,No Perks
2b15f7cd-73db-45f5-a958-dd34c394404e,BET+,Music & Audio,1,75208,Verizon MyPlan,Bad,No Perks
c776d249-7fdc-4355-8153-94eb9a2c6810,Peacock,TV & Movies,0,75225,Verizon MyPlan,Bad,No Perks
c3261fb0-ddad-474a-806b-e8d6387c49cc,FlixLatino,TV & Movies,29,75210,Verizon MyPlan,Good,Standard Perks
8a31c750-c5cc-4082-8c4d-b9d540e2fbe6,Peacock,TV & Movies,2,75214,Verizon MyPlan,Bad,No Perks
f70b147c-2631-45f6-bed1-16bd9d2b3509,Paramount+,TV & Movies,2,75226,Verizon MyPlan,Bad,No Perks
cef23564-013e-428f-bf22-9b93c95be1bc,HISTORY Vault,TV & Movies,4,75246,Verizon MyPlan,Bad,No Perks
fed71594-94e1-4355-8660-4d73c910c886,Netflix,TV & Movies,0,75211,Verizon MyPlan,Bad,No Perks
a0f6f27e-a71a-46d6-8783-2da1e5fe0975,ViX Premium,Lifestyle,4,75237,Verizon MyPlan,Bad,No Perks
1e859b66-90d8-41a0-86ef-baff10600625,STARZ,TV & Movies,2,75247,Verizon MyPlan,Bad,No Perks
9e26d3be-8e34-4439-81ac-b1c04d636082,FlixLatino,TV & Movies,11,75251,Verizon MyPlan,Good,Standard Perks
a57f79a7-813c-4f99-981f-47834e0d4fbc,Peacock,TV & Movies,16,75210,Verizon MyPlan,Good,Standard Perks
2643c964-901e-441b-8116-9d2f8a4ffa65,STARZ,TV & Movies,26,75235,Verizon MyPlan,Good,Standard Perks
18c9e236-2c17-4b72-8d57-3e0c40a31426,HISTORY Vault,TV & Movies,7,75216,Verizon MyPlan,Bad,No Perks
aed02aa4-e55f-45f5-9ca3-68cd0ca1b437,AMC+,TV & Movies,26,75219,Verizon MyPlan,Good,Standard Perks
ba4f425d-58ae-4068-9c97-c99d2031d64e,Paramount+,TV & Movies,30,75232,Verizon MyPlan,Good,Standard Perks
a13bb8f4-28c8-4a95-b0de-d708a7370f06,Netflix,TV & Movies,22,75216,Verizon MyPlan,Good,15% off on Netflix next month
28bb98db-58d4-46f5-ade9-d6ab19785b52,HISTORY Vault,TV & Movies,30,75235,Verizon MyPlan,Good,Standard Perks
e3730106-f048-483b-82c6-9a95adc20bcb,NFL Sunday Ticket,Sports,24,75243,Verizon MyPlan,Good,Free month of STARZ
0be68c42-b95d-40ee-8f91-3480f6e5cec8,Peacock,TV & Movies,17,75204,Verizon MyPlan,Good,Standard Perks
3445774c-807f-4c29-9395-9abb7c34e3ef,STARZ,TV & Movies,18,75287,Verizon MyPlan,Good,Standard Perks
cea4f9cf-eebc-465d-990a-fd60b37c20a7,NFL Sunday Ticket,Sports,21,75211,Verizon MyPlan,Good,Free month of STARZ
06616531-32a1-4632-878e-1c190c437b13,BET+,Music & Audio,18,75240,Verizon MyPlan,Good,Standard Perks
37029041-25f2-49c5-9f57-e1ff92fcebae,NFL Sunday Ticket,Sports,11,75248,Verizon MyPlan,Good,Free month of STARZ
22a76473-5078-48f5-a736-ac11fca271ad,Peacock,TV & Movies,7,75235,Verizon MyPlan,Bad,No Perks
31111a93-dad0-4430-8fbf-4fa640123811,STARZ,TV & Movies,15,75220,Verizon MyPlan,Good,Standard Perks
a61ec182-e674-4fae-af3e-1492e741b75b,STARZ,TV & Movies,29,75210,Verizon MyPlan,Good,Standard Perks
388451c7-35a7-4e9b-861a-9d329e14c474,Netflix,TV & Movies,18,75238,Verizon MyPlan,Good,15% off on Netflix next month
763bf9d3-6657-4c10-91e5-313b680c0710,STARZ,TV & Movies,16,75228,Verizon MyPlan,Good,Standard Perks
ba04e983-c450-4886-9ca5-543c0d4df3b3,Paramount+,TV & Movies,6,75244,Verizon MyPlan,Bad,No Perks
f25d7189-c942-4dd1-8c67-ad76f5fa7c87,HISTORY Vault,TV & Movies,6,75220,Verizon MyPlan,Bad,No Perks
827a756c-efb8-4147-9cc6-75484d22d81b,NFL Sunday Ticket,Sports,14,75217,Verizon MyPlan,Good,Free month of STARZ
0b2f8a82-1881-476c-a4cc-a263834a1509,NFL Sunday Ticket,Sports,6,75241,Verizon MyPlan,Bad,No Perks
695a0437-b057-4162-9023-0487f5a61335,NFL Sunday Ticket,Sports,9,75236,Verizon MyPlan,Bad,No Perks
60236f9a-16bc-42c5-ad08-a3178ae4f8c7,BET+,Music & Audio,19,75202,Verizon MyPlan,Good,Standard Perks
