Subscriber_ID,Channel,Category,Days_Watched,ZIP_Code,Verizon_Service,Highlighted,Customer_Type,Perks
bb30d9f7-d90a-464e-a94a-cfebc7e94c5c,BET+,Music & Audio,11,75220,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
40902930-2367-4b37-a9be-6c119a14ac52,Netflix,TV & Movies,19,75204,Verizon Plus Play,,Good,15% off on Netflix next month
a77ece0a-df26-421e-b937-4a1bff3a4380,AMC+,TV & Movies,15,75240,Verizon Plus Play,,Good,Standard Perks
a5245204-6730-4bf4-ab38-5054bf45e1b9,BET+,Music & Audio,18,75252,Verizon Plus Play,,Good,Standard Perks
870b7021-d769-4726-9d8b-9caa2a54a440,Paramount+,TV & Movies,16,75211,Verizon Plus Play,,Good,Standard Perks
613a124f-8a68-475f-8205-3e4234d3f747,Peacock,TV & Movies,23,75236,Verizon Plus Play,,Good,Standard Perks
1c2132b5-75ff-4e9c-96c3-2eaa4174c893,NFL Sunday Ticket,Sports,20,75237,Verizon Plus Play,,Good,Free month of STARZ
2187d3dd-3a93-4a73-a33a-63529a4ec857,AMC+,TV & Movies,22,75219,Verizon Plus Play,,Good,Standard Perks
512c1319-0ccc-43ed-a530-a73a3fefd7f0,BET+,Music & Audio,26,75235,Verizon Plus Play,,Good,Standard Perks
1d901e0c-6b67-4300-b94c-285a4f5562f3,HISTORY Vault,TV & Movies,11,75218,Verizon Plus Play,,Good,Standard Perks
b91a6ad1-fcd1-44ad-85d3-af3f98db00aa,Paramount+,TV & Movies,14,75210,Verizon Plus Play,,Good,Standard Perks
c5d3595b-ff1c-47fc-888b-595e327bcf39,Peacock,TV & Movies,27,75234,Verizon Plus Play,,Good,Standard Perks
a600dacb-e730-40a5-a313-5739ca98131d,STARZ,TV & Movies,18,75236,Verizon Plus Play,,Good,Standard Perks
657449ac-3c9f-4eec-b516-52c2f20a17f8,AMC+,TV & Movies,13,75236,Verizon Plus Play,,Good,Standard Perks
47874506-0bd3-48ef-8fd4-0571fe955b32,BET+,Music & Audio,25,75229,Verizon Plus Play,,Good,Standard Perks
3a3bfdcb-ed12-46a7-ae70-29cc1bb25097,ViX Premium,Lifestyle,18,75233,Verizon Plus Play,,Good,Standard Perks
40d71c12-21d9-409a-9947-20d8e9e45734,STARZ,TV & Movies,13,75219,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
f31d3f4a-9f03-4ef6-af53-792838b62144,HISTORY Vault,TV & Movies,29,75243,Verizon Plus Play,,Good,Standard Perks
aa08c5c5-6d13-45a0-95d5-293daab564c3,Peacock,TV & Movies,23,75214,Verizon Plus Play,,Good,Standard Perks
bd856712-f1f0-49c9-ac8e-377336efcf68,Paramount+,TV & Movies,19,75226,Verizon Plus Play,,Good,Standard Perks
8e6e46f6-1333-4449-a0ab-e9c180577ae9,Peacock,TV & Movies,11,75216,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
8644ff0a-f26c-42f0-99b1-a1992f6bb212,ViX Premium,Lifestyle,20,75215,Verizon Plus Play,,Good,Standard Perks
4d50ad15-97d0-4f84-a8af-cddfa10621c6,Netflix,TV & Movies,24,75224,Verizon Plus Play,,Good,15% off on Netflix next month
3315b853-4e09-42cb-a254-0a004bcd0008,NFL Sunday Ticket,Sports,11,75214,Verizon Plus Play,,Good,Free month of STARZ
5ef18668-bb98-4cca-8511-b996f0a475b2,Peacock,TV & Movies,24,75001,Verizon Plus Play,,Good,Standard Perks
e90598c5-4b43-4e84-a5c8-b28297588d79,HISTORY Vault,TV & Movies,14,75219,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
3d42c986-61b4-4191-9b63-2e9ed8e5e700,Peacock,TV & Movies,11,75227,Verizon Plus Play,,Good,Standard Perks
d8c96106-4d54-4ef5-83b5-905018f76509,NFL Sunday Ticket,Sports,11,75219,Verizon Plus Play,,Good,Free month of STARZ
14d51a8a-f7e3-4347-ab79-242e665c8263,ViX Premium,Lifestyle,21,75234,Verizon Plus Play,,Good,Standard Perks
840c9014-2d73-4219-ba82-bab76664c51d,STARZ,TV & Movies,21,75223,Verizon Plus Play,,Good,Standard Perks
d9919ace-4494-493a-a593-ae5bad2c16bd,FlixLatino,TV & Movies,11,75210,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
215799d8-9e03-48d6-b96e-8db1b903e501,HISTORY Vault,TV & Movies,13,75229,Verizon Plus Play,,Good,Standard Perks
46f1f82e-531b-4e82-a2d7-27751cf4ce7b,Peacock,TV & Movies,12,75251,Verizon Plus Play,,Good,Standard Perks
8cb665c6-7ee9-4282-a041-eea0fa0a1a50,FlixLatino,TV & Movies,26,75231,Verizon Plus Play,,Good,Standard Perks
f153c7b7-f0d7-401e-a56e-afdadcf4dcb8,Paramount+,TV & Movies,26,75201,Verizon Plus Play,,Good,Standard Perks
8f4a35ea-1925-4969-8aa4-b742bfdfabc7,HISTORY Vault,TV & Movies,24,75224,Verizon Plus Play,,Good,Standard Perks
3409242b-e50c-4fdd-994c-0a8a9bde3a85,Paramount+,TV & Movies,29,75208,Verizon Plus Play,,Good,Standard Perks
b06692b1-74e2-4b02-ade4-ee78c55d1ce8,STARZ,TV & Movies,15,75212,Verizon Plus Play,,Good,Standard Perks
359bd0ba-86c3-498a-adbe-5e5cb2c5b2da,STARZ,TV & Movies,13,75231,Verizon Plus Play,,Good,Standard Perks
a9c4c354-c7f5-48c9-ad58-864e22e85521,Netflix,TV & Movies,15,75287,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
2b736efb-c958-46d2-b01c-a6da79e440f0,AMC+,TV & Movies,18,75236,Verizon Plus Play,,Good,Standard Perks
4d7de65a-4ffc-4c40-9751-a4f58137a61e,AMC+,TV & Movies,22,75248,Verizon Plus Play,,Good,Standard Perks
4529be6f-6d21-493a-ac22-4a0397b9112b,STARZ,TV & Movies,12,75218,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
cbd5c330-75a4-4bd1-91cb-4b9eea2ebd10,HISTORY Vault,TV & Movies,22,75214,Verizon Plus Play,,Good,Standard Perks
e3bbf445-583f-41c2-81e8-8333fd46d9ba,NFL Sunday Ticket,Sports,26,75211,Verizon Plus Play,,Good,Free month of STARZ
f69ef8ce-7d6f-4276-a7b3-afa1bdb71a04,BET+,Music & Audio,12,75234,Verizon Plus Play,,Good,Standard Perks
b4633619-8cd3-4c08-8e88-2529b4957dc2,NFL Sunday Ticket,Sports,22,75210,Verizon Plus Play,,Good,Free month of STARZ
a728680d-b392-4e84-af28-dacf686790d4,Paramount+,TV & Movies,13,75287,Verizon Plus Play,,Good,Standard Perks
974035ec-b57b-4125-b396-8da05e91db36,BET+,Music & Audio,13,75243,Verizon Plus Play,,Good,Standard Perks
7a03578b-e2a2-400d-90ff-e8486990f59b,HISTORY Vault,TV & Movies,22,75287,Verizon Plus Play,,Good,Standard Perks
0f83a66c-0e7c-4364-924b-6f6f4aa108f0,Paramount+,TV & Movies,13,75203,Verizon Plus Play,,Good,Standard Perks
67e9c3a7-ee49-49fc-b43c-c6005fe3fb94,Paramount+,TV & Movies,30,75226,Verizon Plus Play,,Good,Standard Perks
3f6aa13e-bbf2-46cb-8859-4cb533d409db,Peacock,TV & Movies,28,75209,Verizon Plus Play,,Good,Standard Perks
ab609fea-3345-4cdd-9ac5-749724b32411,Netflix,TV & Movies,15,75230,Verizon Plus Play,,Good,15% off on Netflix next month
61aeab2f-111f-41ca-94c1-efe8036a1c4b,HISTORY Vault,TV & Movies,29,75204,Verizon Plus Play,,Good,Standard Perks
a4b1ca92-e459-4b1e-81cb-220b562a3a63,AMC+,TV & Movies,18,75208,Verizon Plus Play,,Good,Standard Perks
888916b2-5329-4bc6-84cc-6d2886dc2ed1,STARZ,TV & Movies,26,75235,Verizon Plus Play,,Good,Standard Perks
f8fb724f-48d9-4813-9813-99a05e345d41,ViX Premium,Lifestyle,24,75216,Verizon Plus Play,,Good,Standard Perks
a032f66c-f81b-43b8-922c-3407a4175d2c,Netflix,TV & Movies,26,75210,Verizon Plus Play,,Good,15% off on Netflix next month
c26650c1-c261-4ba9-99ea-28f41a3f959b,HISTORY Vault,TV & Movies,16,75244,Verizon Plus Play,,Good,Standard Perks
56bbbdf4-7db2-4407-9ab1-7d841f002bb3,FlixLatino,TV & Movies,14,75248,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
0e14e124-45f7-47bc-bdcc-2194f75655a2,ViX Premium,Lifestyle,21,75223,Verizon Plus Play,,Good,Standard Perks
f7d147a1-34c1-4c6e-acd1-d82bc9e972b2,AMC+,TV & Movies,17,75214,Verizon Plus Play,,Good,Standard Perks
af3a04c1-6e36-4fcc-b30c-b8a12830f8d3,Peacock,TV & Movies,30,75243,Verizon Plus Play,,Good,Standard Perks
3c41b701-2644-4dfd-ae5d-7887b2da7a3f,ViX Premium,Lifestyle,27,75202,Verizon Plus Play,,Good,Standard Perks
45de46ca-9eb1-4075-9139-a862e0b0c6d6,NFL Sunday Ticket,Sports,13,75232,Verizon Plus Play,,Good,Free month of STARZ
82f8ce3c-6847-4adf-a6c3-b97fef9f3022,ViX Premium,Lifestyle,14,75230,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
e79a1352-14fb-42d9-a369-b13ab5a5ca8a,NFL Sunday Ticket,Sports,15,75229,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
d567c856-b93d-45d6-8d1a-480baa890e7b,FlixLatino,TV & Movies,15,75248,Verizon Plus Play,,Good,Standard Perks
a5083980-7ca2-4583-8861-8b508091a753,NFL Sunday Ticket,Sports,24,75217,Verizon Plus Play,,Good,Free month of STARZ
23dd6cd3-e15d-406a-a6fc-72f726bf7561,ViX Premium,Lifestyle,26,75287,Verizon Plus Play,,Good,Standard Perks
8d992e78-d991-45ee-8f64-5d9ae90e7369,NFL Sunday Ticket,Sports,22,75241,Verizon Plus Play,,Good,Free month of STARZ
7bfa91a3-784b-4232-b6bc-7ee0b9dc44ad,STARZ,TV & Movies,11,75237,Verizon Plus Play,,Good,Standard Perks
b19bf47a-9e33-4e87-b24b-fc0aeb5074f4,Peacock,TV & Movies,24,75223,Verizon Plus Play,,Good,Standard Perks
ba1194cb-b760-45bf-bc5b-02f0a7325071,AMC+,TV & Movies,15,75241,Verizon Plus Play,,Good,Standard Perks
b3a26ff5-6c17-4e4d-8d57-6e0f91eec632,AMC+,TV & Movies,12,75227,Verizon Plus Play,,Good,Standard Perks
511566ca-3f07-451a-8d2b-7af61f0c7774,STARZ,TV & Movies,22,75226,Verizon Plus Play,,Good,Standard Perks
e32a5f1f-0867-48ef-bdd2-7351338afa53,NFL Sunday Ticket,Sports,25,75225,Verizon Plus Play,,Good,Free month of STARZ
ce096570-0210-4eca-ab19-762b842730de,Paramount+,TV & Movies,27,75246,Verizon Plus Play,,Good,Standard Perks
eb8cf1bb-2269-4e16-95c7-a858c5eb08d8,FlixLatino,TV & Movies,24,75227,Verizon Plus Play,,Good,Standard Perks
ed331991-f737-4b9f-b772-6b7779bedd7d,Paramount+,TV & Movies,27,75238,Verizon Plus Play,,Good,Standard Perks
a9b2f6ba-e40d-46b9-a29c-0af74ac521e7,BET+,Music & Audio,19,75237,Verizon Plus Play,,Good,Standard Perks
bc50bcba-be43-4358-ae07-ac85dd457e05,FlixLatino,TV & Movies,11,75204,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
ebf37a93-fb24-40cf-a292-c03428fe239a,HISTORY Vault,TV & Movies,16,75223,Verizon Plus Play,,Good,Standard Perks
c93f3bbd-2ebe-4d19-b0d4-9de6c6f94a26,Peacock,TV & Movies,18,75226,Verizon Plus Play,,Good,Standard Perks
1505c11d-bcd7-4f48-8ce7-8a9122324697,Peacock,TV & Movies,12,75226,Verizon Plus Play,,Good,Standard Perks
67bfcb80-c582-4f42-8a57-266f073340eb,ViX Premium,Lifestyle,14,75226,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
f522cda3-db48-4e6d-80b7-2671ae6b6c9d,BET+,Music & Audio,11,75230,Verizon Plus Play,,Good,Standard Perks
8be05e86-7f88-46bd-b255-44237fe43c33,Paramount+,TV & Movies,18,75212,Verizon Plus Play,,Good,Standard Perks
4d0efec0-9c28-4a30-9fb4-00061a4cd5cc,FlixLatino,TV & Movies,20,75218,Verizon Plus Play,,Good,Standard Perks
1102fb43-5fc6-480d-9af3-b3b3aaa8bb36,Paramount+,TV & Movies,13,75201,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
aaad9637-b573-4dff-85ad-3f3010b38d0b,HISTORY Vault,TV & Movies,25,75232,Verizon Plus Play,,Good,Standard Perks
1a27176e-c064-4a18-97f6-88a32ad0ece2,AMC+,TV & Movies,29,75218,Verizon Plus Play,,Good,Standard Perks
449b3576-154e-4ab9-b41f-7d0947c8ce3c,AMC+,TV & Movies,11,75219,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
0684b810-e8f0-4278-9cb5-c2d4b15964c6,STARZ,TV & Movies,11,75223,Verizon Plus Play,,Good,Standard Perks
7d193347-3c89-49e7-80d3-9a585be4f4dd,HISTORY Vault,TV & Movies,13,75225,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
8fb45475-1e09-4c49-98c3-eb87f03235fd,HISTORY Vault,TV & Movies,11,75287,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
ed0b7b98-4374-4c99-89b0-c94ab3f7ba95,Peacock,TV & Movies,20,75207,Verizon Plus Play,,Good,Standard Perks
0f72a96e-9818-4c1d-b6fb-428ebdb28949,NFL Sunday Ticket,Sports,12,75225,Verizon Plus Play,,Good,Free month of STARZ
99f01161-3e8f-426e-a022-257a230b7780,Netflix,TV & Movies,11,75241,Verizon Plus Play,,Good,15% off on Netflix next month
0b054854-d373-4d98-8afd-b288520b7970,AMC+,TV & Movies,25,75218,Verizon Plus Play,,Good,Standard Perks
03d29cf6-a684-400f-b214-4ca58cc8e8fc,HISTORY Vault,TV & Movies,12,75214,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
2db1b940-e929-4db0-b549-e4be977a21c0,Peacock,TV & Movies,18,75212,Verizon Plus Play,,Good,Standard Perks
081afcff-28c3-4be5-b9e8-4edaa42af819,NFL Sunday Ticket,Sports,11,75219,Verizon Plus Play,,Good,Free month of STARZ
bd647b2b-ce83-4e4a-b6a2-3d3aacc78cc5,Paramount+,TV & Movies,12,75205,Verizon Plus Play,,Good,Standard Perks
f09d73d0-1aac-4f79-b907-c20f3f23dafa,ViX Premium,Lifestyle,13,75210,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
7fe22476-feae-4da1-853d-0d924096c8d5,NFL Sunday Ticket,Sports,14,75205,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
ae0fb184-afe7-4354-8187-6d7b47347840,BET+,Music & Audio,24,75254,Verizon Plus Play,,Good,Standard Perks
dde2874c-00a1-4237-8171-1d7493a5dbf7,Netflix,TV & Movies,13,75234,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
df6f52f0-889a-41b6-ae7a-7c2b8e3ae599,Peacock,TV & Movies,23,75234,Verizon Plus Play,,Good,Standard Perks
b41e508a-dd58-4c6d-8d82-223fceb1d9fb,AMC+,TV & Movies,27,75287,Verizon Plus Play,,Good,Standard Perks
ad400c0e-72a4-4324-8879-9345230b3310,NFL Sunday Ticket,Sports,21,75247,Verizon Plus Play,,Good,Free month of STARZ
02dfcaf0-851f-4c17-85d5-f817a8c20e34,HISTORY Vault,TV & Movies,13,75233,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
605cc422-3ef5-4f08-a435-d9fc4c3af1f3,BET+,Music & Audio,12,75235,Verizon Plus Play,,Good,Standard Perks
662c3ad4-1dd8-4789-9a24-52f1d17f6161,BET+,Music & Audio,20,75253,Verizon Plus Play,,Good,Standard Perks
b9aa4012-925b-40d1-a1bf-142dd67793db,BET+,Music & Audio,15,75220,Verizon Plus Play,,Good,Standard Perks
9f8d08c8-0cbf-405f-884c-fff2c67fe725,FlixLatino,TV & Movies,21,75205,Verizon Plus Play,,Good,Standard Perks
b454fe39-63e1-4df0-af87-7533b63787d5,HISTORY Vault,TV & Movies,29,75220,Verizon Plus Play,,Good,Standard Perks
4c7ba571-d5e5-474e-9d0f-68f0396990c8,HISTORY Vault,TV & Movies,12,75211,Verizon Plus Play,,Good,Standard Perks
17db90b2-d518-4ae1-8c54-0baa20048534,AMC+,TV & Movies,12,75238,Verizon Plus Play,,Good,Standard Perks
ad585a5e-d0fb-4391-81e2-a7c124c1de9b,ViX Premium,Lifestyle,21,75244,Verizon Plus Play,,Good,Standard Perks
85db6fc6-ebaa-4490-8e9a-bd57be163e86,STARZ,TV & Movies,23,75252,Verizon Plus Play,,Good,Standard Perks
08bb2e98-072b-4890-92a0-1b7008a8f16b,HISTORY Vault,TV & Movies,27,75287,Verizon Plus Play,,Good,Standard Perks
e8decb91-01ce-4e10-bc9a-9d45544b7415,Netflix,TV & Movies,30,75211,Verizon Plus Play,,Good,15% off on Netflix next month
d983c4ff-6ac5-483d-8b6d-d93b380b0e00,FlixLatino,TV & Movies,13,75217,Verizon Plus Play,,Good,Standard Perks
8b1a45bd-d994-409a-b416-4db0f9e7db6f,Paramount+,TV & Movies,19,75223,Verizon Plus Play,,Good,Standard Perks
0218af40-70b8-4135-b6fa-bc687d36135f,Paramount+,TV & Movies,14,75247,Verizon Plus Play,Increased Days & Updated Perks,Good,Bonus content for the next month
047c8ac7-682e-433c-a55b-e9d45c18bc1e,Peacock,TV & Movies,30,75240,Verizon Plus Play,,Good,Standard Perks
