Subscriber_ID,Channel,Category,Days_Watched,ZIP_Code,Verizon_Service,Customer_Type,Perks
25ca1e46-b401-40cd-9014-922a9e69a19f,STARZ,TV & Movies,29,75205,Verizon Plus Play,Good,Standard Perks
7debe25f-2b5d-4b79-8ad7-fe6a37d90df0,BET+,Music & Audio,12,75225,Verizon Plus Play,Good,Standard Perks
c767c93c-ee0e-4b70-a18d-1d19b95f448a,AMC+,TV & Movies,9,75252,Verizon Plus Play,Bad,No Perks
3abe6a69-aabe-48c8-81e6-7909f5121de9,Paramount+,TV & Movies,6,75206,Verizon Plus Play,Bad,No Perks
1adae3d5-a0f4-4234-b7c1-69ea426ffefa,STARZ,TV & Movies,3,75287,Verizon Plus Play,Bad,No Perks
3cc80e56-da70-4484-9547-1c4dd9cc4195,STARZ,TV & Movies,2,75238,Verizon Plus Play,Bad,No Perks
502d1189-6f31-43af-924d-6863c6a4394d,HISTORY Vault,TV & Movies,20,75246,Verizon Plus Play,Good,Standard Perks
7592a198-df5b-4f7d-8ed3-0b327e03d53a,Peacock,TV & Movies,20,75254,Verizon Plus Play,Good,Standard Perks
1545582b-5540-4b46-b727-e5ddec83369a,HISTORY Vault,TV & Movies,20,75249,Verizon Plus Play,Good,Standard Perks
470b7ed8-94fb-4df0-ac74-ea3497624f70,NFL Sunday Ticket,Sports,5,75230,Verizon Plus Play,Bad,No Perks
a3aad73a-4fb5-42c6-9915-66ac6834d84a,AMC+,TV & Movies,3,75220,Verizon Plus Play,Bad,No Perks
6293aecc-9809-4804-ae60-9388210fbe86,Peacock,TV & Movies,5,75205,Verizon Plus Play,Bad,No Perks
53581182-4001-4f4b-af03-0ca2767d4e20,NFL Sunday Ticket,Sports,23,75201,Verizon Plus Play,Good,Free month of STARZ
0d83012e-f72e-4ce4-9fad-e4906a576721,Peacock,TV & Movies,21,75287,Verizon Plus Play,Good,Standard Perks
af3e54e2-a110-4c9f-85bb-8d4d8e8e04d5,FlixLatino,TV & Movies,8,75210,Verizon Plus Play,Bad,No Perks
1a358487-e073-414e-9b03-f26f5529268b,ViX Premium,Lifestyle,24,75209,Verizon Plus Play,Good,Standard Perks
394bfc7a-e38f-4a4c-992a-bb873917ee75,Netflix,TV & Movies,29,75206,Verizon Plus Play,Good,15% off on Netflix next month
392b25ae-1e84-40f9-8ea6-b14f76a108c0,AMC+,TV & Movies,19,75215,Verizon Plus Play,Good,Standard Perks
d1db0741-1682-4494-94b7-9136e5151926,Peacock,TV & Movies,30,75220,Verizon Plus Play,Good,Standard Perks
302c5254-c3d7-49a0-825a-941f774f8d5a,Peacock,TV & Movies,7,75214,Verizon Plus Play,Bad,No Perks
cbb3a9d7-75e0-40f6-9a3d-dcc1462f94ac,NFL Sunday Ticket,Sports,17,75253,Verizon Plus Play,Good,Free month of STARZ
1e4d2ffd-4cd7-446d-9829-de02ed76267c,FlixLatino,TV & Movies,7,75252,Verizon Plus Play,Bad,No Perks
78c7a03c-6890-415a-948a-410fffad642c,ViX Premium,Lifestyle,8,75218,Verizon Plus Play,Bad,No Perks
1cafe4df-1ff5-4a3a-ac6e-babe6d1271d1,HISTORY Vault,TV & Movies,10,75224,Verizon Plus Play,Bad,No Perks
3ae089ad-926e-4bec-a55a-f072dd685255,FlixLatino,TV & Movies,11,75202,Verizon Plus Play,Good,Standard Perks
8023a72c-6ab8-4b30-880c-39725616c67e,HISTORY Vault,TV & Movies,0,75207,Verizon Plus Play,Bad,No Perks
464116e1-5b9a-47a5-a131-508b61c2e0c4,HISTORY Vault,TV & Movies,12,75218,Verizon Plus Play,Good,Standard Perks
923cf640-06ae-4201-85bf-5422864c2dec,Paramount+,TV & Movies,19,75205,Verizon Plus Play,Good,Standard Perks
24754130-834d-4d26-8110-fb1553f338f2,ViX Premium,Lifestyle,12,75230,Verizon Plus Play,Good,Standard Perks
b9932880-01a3-42b8-9190-eb4815a544f5,BET+,Music & Audio,11,75232,Verizon Plus Play,Good,Standard Perks
0b5e510b-3821-4399-9fed-96d1991df10d,Paramount+,TV & Movies,28,75211,Verizon Plus Play,Good,Standard Perks
c3b04bca-30bb-4ded-a182-14d983230f32,AMC+,TV & Movies,2,75204,Verizon Plus Play,Bad,No Perks
b3d3b77b-7512-4a71-82a3-a6c9e8a9a728,BET+,Music & Audio,24,75218,Verizon Plus Play,Good,Standard Perks
03e6f635-3ed8-42a2-b0ab-b241ad43328e,Paramount+,TV & Movies,10,75236,Verizon Plus Play,Bad,No Perks
