Subscriber_ID,Channel,Category,Days_Watched,ZIP_Code,Verizon_Service,Customer_Type,Perks
28f5f216-5f21-4b49-b336-bfd5ab50144f,AMC+,TV & Movies,1,75243,Verizon Plus Play,Bad,No Perks
1a926f0b-f547-4930-814f-48b76773f629,AMC+,TV & Movies,3,75206,Verizon MyPlan,Bad,No Perks
668ac7c6-a7c3-4c3a-87e6-95b7b41e7956,NFL Sunday Ticket,Sports,7,75001,Verizon Plus Play,Bad,No Perks
c3e78332-6d27-41e4-b043-5ed8c1aed29f,AMC+,TV & Movies,14,75229,Verizon Plus Play,Good,Standard Perks
2537f88a-055e-4a14-a5f3-11fbc29d5b10,BET+,Music & Audio,29,75217,Verizon MyPlan,Good,Standard Perks
c1f69e80-3903-45c1-b464-2b054510bb09,NFL Sunday Ticket,Sports,20,75247,Verizon Plus Play,Good,Free month of STARZ
96081030-d791-417c-b6a0-ae8b0b8bfe99,Peacock,TV & Movies,4,75246,Verizon MyPlan,Bad,No Perks
0fd62bf3-48ad-4a5f-a18c-698fe6990606,Paramount+,TV & Movies,23,75252,Verizon MyPlan,Good,Standard Perks
1a1da9db-8ba4-496a-bafd-e41b3a38c837,HISTORY Vault,TV & Movies,28,75240,Verizon Plus Play,Good,Standard Perks
2f3c2909-07d3-47c5-8557-a533bdecd44c,HISTORY Vault,TV & Movies,0,75223,Verizon MyPlan,Bad,No Perks
9be90440-255e-476b-aae5-516a6b9c4800,ViX Premium,Lifestyle,25,75237,Verizon MyPlan,Good,Standard Perks
74222dd9-2378-458e-a5f5-d4788d7eed2b,STARZ,TV & Movies,0,75287,Verizon MyPlan,Bad,No Perks
2ed7231e-a4fe-43d0-9d53-4e6192bb4b56,ViX Premium,Lifestyle,16,75248,Verizon MyPlan,Good,Standard Perks
937d87d8-7371-451b-92a3-ed90e14efff1,Peacock,TV & Movies,15,75248,Verizon Plus Play,Good,Standard Perks
e9082a5d-f273-4ca3-9474-ba6c2d1807d4,HISTORY Vault,TV & Movies,13,75001,Verizon Plus Play,Good,Standard Perks
5d85a5c5-d548-484d-956b-7a6ad812e50f,Netflix,TV & Movies,11,75235,Verizon Plus Play,Good,15% off on Netflix next month
8ce8cd14-44e8-46ed-b68a-e2d099ac0fba,NFL Sunday Ticket,Sports,7,75234,Verizon MyPlan,Bad,No Perks
2107e6e8-ccaa-4773-b7cc-99797fc99bf1,STARZ,TV & Movies,23,75230,Verizon Plus Play,Good,Standard Perks
e47b5255-c289-47b1-9f1f-a2d7ed1a2680,STARZ,TV & Movies,28,75230,Verizon MyPlan,Good,Standard Perks
d1059cbf-41e3-467e-a965-066506a6ea72,BET+,Music & Audio,17,75207,Verizon Plus Play,Good,Standard Perks
9424b5bd-e71b-4f2b-b3d8-bb80d7703eec,NFL Sunday Ticket,Sports,25,75234,Verizon Plus Play,Good,Free month of STARZ
f4c1e229-a559-4043-93d0-f77b1c696192,NFL Sunday Ticket,Sports,17,75231,Verizon MyPlan,Good,Free month of STARZ
dd932258-1dac-41d1-bdb1-e2b591e7c5a9,FlixLatino,TV & Movies,30,75229,Verizon MyPlan,Good,Standard Perks
46cdd424-ad02-4b5f-8f5a-321669900b63,FlixLatino,TV & Movies,17,75236,Verizon Plus Play,Good,Standard Perks
0752579a-9fc0-4812-b8e0-c13fa760f302,Paramount+,TV & Movies,5,75212,Verizon MyPlan,Bad,No Perks
58709734-4347-4be9-accf-2339285da227,Peacock,TV & Movies,7,75233,Verizon MyPlan,Bad,No Perks
ca6f2b42-b7d5-4c7a-9dd3-472e4bc29ef0,Netflix,TV & Movies,6,75234,Verizon Plus Play,Bad,No Perks
242d4b16-61ac-4574-9852-29b7d0d81e2a,Netflix,TV & Movies,22,75204,Verizon Plus Play,Good,15% off on Netflix next month
39e3accc-5a49-4616-bb58-f1443271d16e,AMC+,TV & Movies,10,75216,Verizon Plus Play,Bad,No Perks
6d9efddb-ada6-4b94-b708-7a5d78d5478a,BET+,Music & Audio,2,75203,Verizon MyPlan,Bad,No Perks
151a63c6-e277-49b9-af83-7f611f5f59e8,BET+,Music & Audio,12,75231,Verizon Plus Play,Good,Standard Perks
76d85d4d-d73e-4025-a92c-48731e158c94,AMC+,TV & Movies,8,75231,Verizon MyPlan,Bad,No Perks
419b4982-45f6-4a55-bac8-563ce06b64e9,HISTORY Vault,TV & Movies,26,75235,Verizon MyPlan,Good,Standard Perks
31e02aa7-4d19-43ad-92dc-77ea346a4372,Peacock,TV & Movies,15,75244,Verizon MyPlan,Good,Standard Perks
f6d6b4a6-3048-4025-9969-f748674eb5ba,NFL Sunday Ticket,Sports,11,75247,Verizon MyPlan,Good,Free month of STARZ
2f9453eb-ef26-48be-9585-72e982605ca1,Peacock,TV & Movies,3,75211,Verizon Plus Play,Bad,No Perks
21085706-ccf8-451f-8e32-94f9ff2debd1,ViX Premium,Lifestyle,18,75210,Verizon Plus Play,Good,Standard Perks
570b6188-a7c9-4ddc-904e-0c91d35f41c9,Paramount+,TV & Movies,16,75209,Verizon Plus Play,Good,Standard Perks
dd06caf1-a3b4-4b1f-8c0f-2d63c7797481,FlixLatino,TV & Movies,3,75203,Verizon MyPlan,Bad,No Perks
a7a2057f-f130-44e3-a172-fb3fcd4763b2,HISTORY Vault,TV & Movies,0,75204,Verizon MyPlan,Bad,No Perks
d04b292f-6b53-41f5-9d85-e5035e17a1da,ViX Premium,Lifestyle,29,75229,Verizon Plus Play,Good,Standard Perks
89346c6b-bbe7-41d3-a4b7-0ed2fa263558,NFL Sunday Ticket,Sports,21,75230,Verizon Plus Play,Good,Free month of STARZ
f4d82c95-06bd-4476-b1b3-725c817618ac,STARZ,TV & Movies,20,75234,Verizon MyPlan,Good,Standard Perks
1b63d600-7d5b-4a1f-9d96-17cc27b119f1,ViX Premium,Lifestyle,15,75207,Verizon MyPlan,Good,Standard Perks
ee573eb9-ddc5-4785-9f5e-5186b603bc70,NFL Sunday Ticket,Sports,13,75001,Verizon MyPlan,Good,Free month of STARZ
a32ea81c-27e3-4be2-ae5b-6e5560c05e2d,FlixLatino,TV & Movies,8,75219,Verizon MyPlan,Bad,No Perks
530954af-b86a-489d-b3af-f7f5ff60a46e,AMC+,TV & Movies,14,75214,Verizon MyPlan,Good,Standard Perks
ffdb9e32-cc1a-4749-b057-1eed106d169f,FlixLatino,TV & Movies,7,75001,Verizon Plus Play,Bad,No Perks
e9f97fc4-3450-4dc2-b3b8-c803086a0b45,ViX Premium,Lifestyle,3,75243,Verizon MyPlan,Bad,No Perks
c1daae46-8d4e-4987-a3fd-af1ee690f02d,NFL Sunday Ticket,Sports,16,75287,Verizon Plus Play,Good,Free month of STARZ
b0f7b011-a493-4aeb-a089-69631aca6861,Paramount+,TV & Movies,6,75219,Verizon Plus Play,Bad,No Perks
d632570c-d300-46ee-981b-1cd5eb5d92ac,AMC+,TV & Movies,24,75206,Verizon Plus Play,Good,Standard Perks
51034b50-12bd-4218-9408-4d197735e7f6,HISTORY Vault,TV & Movies,8,75240,Verizon Plus Play,Bad,No Perks
be1ff0f4-4399-4dbf-8f9a-3584f69da680,HISTORY Vault,TV & Movies,25,75216,Verizon MyPlan,Good,Standard Perks
befed5f1-a4f1-465c-a17e-b680fa5673ad,NFL Sunday Ticket,Sports,30,75244,Verizon Plus Play,Good,Free month of STARZ
